date,classType,instructor,timeSlot,capacity,booked,attended,cancellations,waitlist,price
2025-09-01,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2025-09-01,cycle,Jordan Lee,morning,22,22,21,1,1,28
2025-09-01,barre,Jordan Lee,weekend,25,24,23,1,0,24
2025-09-01,pilates,Jordan Lee,evening,20,18,17,1,0,22
2025-09-05,pilates,Sam Rivera,afterwork,20,19,18,1,0,22
2025-09-05,barre,Sam Rivera,morning,18,15,14,1,0,24
2025-09-05,yoga,Sam Rivera,weekend,25,20,19,1,0,22
2025-09-05,cycle,Sam Rivera,evening,20,16,15,1,0,28
2025-09-08,cycle,Alex Chen,afterwork,22,17,16,1,0,28
2025-09-08,yoga,Alex Chen,morning,20,14,13,1,0,22
2025-09-08,barre,Alex Chen,weekend,25,17,16,1,0,24
2025-09-08,pilates,Alex Chen,evening,20,13,12,1,0,22
2025-09-12,yoga,Morgan Taylor,afterwork,20,13,12,1,0,22
2025-09-12,pilates,Morgan Taylor,morning,18,11,10,1,0,22
2025-09-12,cycle,Morgan Taylor,weekend,25,14,13,1,0,28
2025-09-15,barre,Casey Kim,afterwork,18,10,9,1,0,24
2025-09-15,cycle,Casey Kim,morning,20,10,9,1,0,28
2025-09-15,yoga,Casey Kim,weekend,25,12,11,1,0,22
2025-09-19,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2025-09-19,pilates,Sam Rivera,afternoon,22,15,14,1,0,20
2025-09-19,cycle,Alex Chen,lunch,20,9,8,1,0,24
2025-09-19,barre,Morgan Taylor,evening,20,11,10,1,0,24
2025-09-22,yoga,Jordan Lee,lunch,22,14,13,1,0,24
2025-09-22,pilates,Sam Rivera,lunch,20,11,10,1,0,18
2025-09-22,yoga,Casey Kim,lunch,20,6,5,1,0,18
2025-09-26,cycle,Jordan Lee,morning,22,22,21,1,1,28
2025-09-26,barre,Sam Rivera,morning,18,15,14,1,0,24
2025-09-26,yoga,Alex Chen,morning,20,14,13,1,0,22
2025-09-26,pilates,Morgan Taylor,morning,18,11,10,1,0,22
2025-10-01,barre,Jordan Lee,weekend,25,24,23,1,0,24
2025-10-01,yoga,Sam Rivera,weekend,25,20,19,1,0,22
2025-10-01,cycle,Alex Chen,weekend,22,17,17,0,0,28
2025-10-06,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2025-10-06,pilates,Sam Rivera,afterwork,20,19,18,1,0,22
2025-10-06,cycle,Alex Chen,afterwork,22,17,16,1,0,28
2025-10-06,yoga,Morgan Taylor,afterwork,20,13,12,1,0,22
2025-10-10,yoga,Jordan Lee,morning,20,19,18,1,0,22
2025-10-10,barre,Sam Rivera,morning,18,15,14,1,0,24
2025-10-10,yoga,Alex Chen,morning,20,14,13,1,0,22
2025-10-10,pilates,Morgan Taylor,morning,18,11,10,1,0,22
2025-10-14,pilates,Alex Chen,evening,20,13,12,1,0,22
2025-10-14,barre,Morgan Taylor,evening,20,11,10,1,0,24
2025-10-14,pilates,Casey Kim,evening,20,9,8,1,0,22
2025-10-17,yoga,Jordan Lee,afternoon,20,16,15,1,0,20
2025-10-17,barre,Sam Rivera,afternoon,22,14,13,1,0,22
2025-10-17,pilates,Alex Chen,afternoon,22,12,11,1,0,20
2025-10-22,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2025-10-22,pilates,Sam Rivera,afterwork,20,19,18,1,0,22
2025-10-22,barre,Morgan Taylor,afterwork,20,13,12,1,0,24
2025-10-22,yoga,Casey Kim,afterwork,18,10,9,1,0,22
2025-10-27,cycle,Jordan Lee,morning,22,22,21,1,1,28
2025-10-27,yoga,Sam Rivera,morning,18,15,15,0,0,22
2025-10-27,barre,Casey Kim,morning,18,9,8,1,0,24
2025-10-31,barre,Jordan Lee,weekend,25,24,23,1,0,24
2025-10-31,yoga,Sam Rivera,weekend,25,20,19,1,0,22
2025-10-31,yoga,Morgan Taylor,weekend,25,14,13,1,0,22
2025-10-31,pilates,Casey Kim,weekend,25,12,11,1,0,22
2025-11-03,pilates,Casey Kim,evening,20,9,8,1,0,22
2025-11-03,barre,Alex Chen,evening,20,13,12,1,0,24
2025-11-03,cycle,Morgan Taylor,evening,20,11,10,1,0,28
2025-11-07,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2025-11-07,cycle,Jordan Lee,morning,22,22,21,1,1,28
2025-11-07,barre,Sam Rivera,afterwork,20,18,17,1,0,24
2025-11-07,pilates,Alex Chen,morning,20,14,13,1,0,22
2025-11-12,yoga,Jordan Lee,weekend,25,24,24,0,0,22
2025-11-12,barre,Sam Rivera,weekend,25,20,19,1,0,24
2025-11-12,yoga,Alex Chen,weekend,25,17,16,1,0,22
2025-11-12,cycle,Morgan Taylor,weekend,25,14,13,1,0,28
2025-11-17,pilates,Sam Rivera,afternoon,22,15,14,1,0,20
2025-11-17,cycle,Alex Chen,afternoon,22,12,11,1,0,25
2025-11-17,yoga,Morgan Taylor,afternoon,22,10,9,1,0,20
2025-11-21,yoga,Jordan Lee,lunch,22,14,13,1,0,24
2025-11-21,barre,Alex Chen,lunch,20,9,8,1,0,20
2025-11-21,yoga,Casey Kim,lunch,20,6,5,1,0,18
2025-11-24,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2025-11-24,pilates,Sam Rivera,afterwork,20,19,18,1,0,22
2025-11-24,cycle,Alex Chen,afterwork,22,17,16,1,0,28
2025-11-24,barre,Morgan Taylor,afterwork,20,13,12,1,0,24
2025-11-28,barre,Jordan Lee,weekend,25,24,23,1,0,24
2025-11-28,yoga,Casey Kim,weekend,25,12,11,1,0,22
2025-11-28,cycle,Morgan Taylor,weekend,25,14,13,1,0,28
2025-12-01,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2025-12-01,pilates,Sam Rivera,afterwork,20,19,18,1,0,22
2025-12-01,cycle,Alex Chen,afterwork,22,17,16,1,0,28
2025-12-01,yoga,Morgan Taylor,afterwork,20,13,12,1,0,22
2025-12-05,barre,Jordan Lee,morning,22,21,20,1,0,24
2025-12-05,yoga,Sam Rivera,morning,18,15,14,1,0,22
2025-12-05,pilates,Alex Chen,morning,20,14,13,1,0,22
2025-12-10,barre,Jordan Lee,weekend,25,24,23,1,0,24
2025-12-10,yoga,Sam Rivera,weekend,25,20,19,1,0,22
2025-12-10,barre,Alex Chen,weekend,25,17,16,1,0,24
2025-12-10,pilates,Morgan Taylor,weekend,25,14,13,1,0,22
2025-12-15,pilates,Jordan Lee,evening,20,18,17,1,0,22
2025-12-15,cycle,Sam Rivera,evening,20,16,15,1,0,28
2025-12-15,yoga,Morgan Taylor,evening,20,11,10,1,0,22
2025-12-19,yoga,Jordan Lee,afternoon,20,16,15,1,0,20
2025-12-19,pilates,Casey Kim,afternoon,18,7,6,1,0,20
2025-12-19,barre,Alex Chen,afternoon,22,12,11,1,0,22
2025-12-22,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2025-12-22,barre,Sam Rivera,afterwork,20,18,17,1,0,24
2025-12-22,cycle,Alex Chen,afterwork,22,17,16,1,0,28
2025-12-22,yoga,Casey Kim,afterwork,18,10,9,1,0,22
2025-12-26,barre,Jordan Lee,morning,22,21,20,1,0,24
2025-12-26,pilates,Sam Rivera,morning,18,15,14,1,0,22
2025-12-26,yoga,Casey Kim,morning,20,10,9,1,0,22
2025-12-30,yoga,Jordan Lee,weekend,25,24,23,1,0,22
2025-12-30,barre,Sam Rivera,weekend,25,20,19,1,0,24
2025-12-30,cycle,Morgan Taylor,weekend,25,14,13,1,0,28
2025-12-30,yoga,Casey Kim,weekend,25,12,11,1,0,22
2026-01-02,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2026-01-02,pilates,Sam Rivera,afterwork,20,19,18,1,0,22
2026-01-02,cycle,Alex Chen,afterwork,22,18,17,1,0,28
2026-01-07,yoga,Jordan Lee,morning,22,21,20,1,0,22
2026-01-07,barre,Sam Rivera,morning,18,16,15,1,0,24
2026-01-07,yoga,Alex Chen,morning,20,15,14,1,0,22
2026-01-07,pilates,Morgan Taylor,morning,18,12,11,1,0,22
2026-01-12,barre,Jordan Lee,weekend,25,24,23,1,0,24
2026-01-12,yoga,Sam Rivera,weekend,25,21,20,1,0,22
2026-01-12,cycle,Alex Chen,weekend,22,18,17,1,0,28
2026-01-16,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2026-01-16,pilates,Sam Rivera,afterwork,20,19,18,1,0,22
2026-01-16,cycle,Alex Chen,afterwork,22,18,17,1,0,28
2026-01-16,yoga,Morgan Taylor,afterwork,20,14,13,1,0,22
2026-01-21,pilates,Jordan Lee,evening,20,18,17,1,0,22
2026-01-21,barre,Sam Rivera,evening,20,16,15,1,0,24
2026-01-21,yoga,Casey Kim,evening,20,9,8,1,0,22
2026-01-26,yoga,Jordan Lee,morning,22,21,20,1,0,22
2026-01-26,cycle,Sam Rivera,morning,20,16,15,1,0,28
2026-01-26,pilates,Alex Chen,morning,20,14,13,1,0,22
2026-01-26,barre,Morgan Taylor,morning,18,11,10,1,0,24
2026-01-30,barre,Jordan Lee,weekend,25,24,23,1,0,24
2026-01-30,yoga,Sam Rivera,weekend,25,21,20,1,0,22
2026-01-30,yoga,Casey Kim,weekend,25,12,11,1,0,22
2026-02-02,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2026-02-02,pilates,Sam Rivera,afterwork,20,19,18,1,0,22
2026-02-02,cycle,Alex Chen,afterwork,22,18,17,1,0,28
2026-02-02,barre,Morgan Taylor,afterwork,20,14,13,1,0,24
2026-02-06,pilates,Alex Chen,evening,20,13,12,1,0,22
2026-02-06,barre,Morgan Taylor,evening,20,11,10,1,0,24
2026-02-06,cycle,Casey Kim,evening,20,9,8,1,0,28
2026-02-10,yoga,Jordan Lee,morning,22,21,20,1,0,22
2026-02-10,barre,Sam Rivera,morning,18,16,15,1,0,24
2026-02-10,yoga,Alex Chen,morning,20,15,14,1,0,22
2026-02-10,pilates,Morgan Taylor,morning,18,12,11,1,0,22
2026-02-13,pilates,Jordan Lee,afternoon,20,16,15,1,0,20
2026-02-13,yoga,Sam Rivera,afternoon,22,15,14,1,0,19
2026-02-13,barre,Alex Chen,afternoon,22,12,11,1,0,22
2026-02-17,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2026-02-17,cycle,Sam Rivera,afterwork,20,19,18,1,0,28
2026-02-17,pilates,Alex Chen,afterwork,22,18,17,1,0,22
2026-02-17,yoga,Casey Kim,afterwork,18,10,9,1,0,22
2026-02-20,barre,Jordan Lee,morning,22,22,21,1,1,24
2026-02-20,yoga,Sam Rivera,morning,18,16,15,1,0,22
2026-02-20,pilates,Casey Kim,morning,20,10,9,1,0,22
2026-02-24,barre,Jordan Lee,weekend,25,25,24,1,1,24
2026-02-24,yoga,Sam Rivera,weekend,25,21,20,1,0,22
2026-02-24,cycle,Alex Chen,weekend,22,18,17,1,0,28
2026-02-24,yoga,Morgan Taylor,weekend,25,14,13,1,0,22
